stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000001.SZ,,,,,42144,41647,,,40759,40437,,
000002.SZ,,,,,,,,,,,,
000004.SZ,,,,,,,,,,,,
000005.SZ,,,,,42367,,,,,,,
000006.SZ,,,,,,,,,,,,
000007.SZ,,,,,,,,,40682,,,
000008.SZ,,,,42447,42040,,,41271,,,,
000009.SZ,,,,,42066,,,,,,,
000010.SZ,,,,,42369,,,,,,,
000011.SZ,,,,,,,,,,,,
000012.SZ,,,,,,,,,,,,
000014.SZ,,,,,,,,,,,,
000016.SZ,,,,,,,,,,,,
000017.SZ,,,,,,,,,,,,
000019.SZ,,43413,,,,,,,40725,,,
000020.SZ,,,,,,,,,,,,
000021.SZ,,,,,,,41556,,,,,
000023.SZ,,,,,,,,,,,,
000025.SZ,,,,,42089,,,,,,,
000026.SZ,,,,42383,,,,,,40541,,
000027.SZ,,,,,,,41311,,,,,
000028.SZ,,,42739,,,41718,,,,,,
000029.SZ,,,,,,,,,,,,
000030.SZ,,,,,,,41353,,,,,
000031.SZ,43518,,,,,,,,,,,
000032.SZ,,,,,42368,,,,,,,
000034.SZ,,,,42430,,,,,,,,
000035.SZ,43760,,42941,,,41906,,,,,,
000036.SZ,,,,,,,,,,,,
000037.SZ,,,,,,,,,,,,
000038.SZ,,,,42550,,,,,,,,
000039.SZ,,,,,,,,,,,,
000040.SZ,,43433,,42579,,,,,,,,
000042.SZ,,,,,42363,,,,,,,
000045.SZ,,,,,,,41358,,,40396,,
000046.SZ,,,,42398,,,,,,,,39483
000048.SZ,,,,,,,,,,,,
000049.SZ,,,,,,,,,,,,
000050.SZ,,43132,,42383,,41908,,,,,,
000055.SZ,,,,42580,,,,,,40373,,
000056.SZ,,,,,42254,,,,,,,
000058.SZ,,,42798,,,,,,,,,
000059.SZ,,,,,,42003,,,,,,39458
000060.SZ,,,42919,,42080,,,,,,,
000061.SZ,,,,,,,41297,,,,,39637
000062.SZ,,,,,42319,,,,,,40156,
000063.SZ,,,,,,,,,,,,
000065.SZ,,,,42731,42167,,,,,,,
000066.SZ,,,42755,,,,,,,40497,,
000068.SZ,,,,,42024,,,,,,,
000069.SZ,,,,42373,,,,,,,40127,
000070.SZ,,,,,42354,,41312,,,,,
000078.SZ,,,,42542,,,41361,,,,,
000088.SZ,,,,,,,,,,,,
000089.SZ,,,,,,,,,,,,39499
000090.SZ,,,,,42348,,,,,,,
000096.SZ,,,,,,,,,,,,
000099.SZ,,,,,,,,,,,,
000100.SZ,,,43091,,42060,41758,,,,40392,39927,
000150.SZ,,,,,42082,,,,,,,
000151.SZ,,,,,,,,,,,,
000153.SZ,,,,,,,41352,,,,,
000155.SZ,,,,,,,,,,,,
000156.SZ,,,,,42135,,41635,41194,,,,
000157.SZ,,,,,,,,,,40220,,
000158.SZ,,,,,42209,,,,,,,39478
000159.SZ,,,,,,,,,,,,39515
000166.SZ,,43127,,,,,,,,,,
000301.SZ,,43342,,,,,,,,,,
000333.SZ,,,,,42180,,,,,,,
000338.SZ,,,,,,,,,,,,
000400.SZ,,,,,,41716,,,,,,
000401.SZ,,,,,,,,40939,,,,39629
000402.SZ,,,,,,,,,,,,39456
000403.SZ,,,,,,,,,,,,
000404.SZ,,,,,,,41331,,,,,
000407.SZ,,,,42479,,41977,,,,,,
000408.SZ,,,,42641,,,,,,,,
000409.SZ,,,,,,,41290,,,,,
000410.SZ,,,,,,,41407,,,,,
000411.SZ,43663,,,,,,,,,,,
000413.SZ,,,43097,42607,42354,,41381,,,,,
000415.SZ,,,,42376,,41733,,,40737,,,
