stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000001.SZ,,,,,1.0,1.0,,,1.0,1.0,,
000002.SZ,,,,,,,,,,,,
000004.SZ,,,,,,,,,,,,
000005.SZ,,,,,1.0,,,,,,,
000006.SZ,,,,,,,,,,,,
000007.SZ,,,,,,,,,1.0,,,
000008.SZ,,,,1.0,1.0,,,1.0,,,,
000009.SZ,,,,,1.0,,,,,,,
000010.SZ,,,,,1.0,,,,,,,
000011.SZ,,,,,,,,,,,,
000012.SZ,,,,,,,,,,,,
000014.SZ,,,,,,,,,,,,
000016.SZ,,,,,,,,,,,,
000017.SZ,,,,,,,,,,,,
000019.SZ,,1.0,,,,,,,1.0,,,
000020.SZ,,,,,,,,,,,,
000021.SZ,,,,,,,1.0,,,,,
000023.SZ,,,,,,,,,,,,
000025.SZ,,,,,1.0,,,,,,,
000026.SZ,,,,1.0,,,,,,1.0,,
000027.SZ,,,,,,,1.0,,,,,
000028.SZ,,,1.0,,,1.0,,,,,,
000029.SZ,,,,,,,,,,,,
000030.SZ,,,,,,,1.0,,,,,
000031.SZ,1.0,,,,,,,,,,,
000032.SZ,,,,,1.0,,,,,,,
000034.SZ,,,,1.0,,,,,,,,
000035.SZ,1.0,,1.0,,,1.0,,,,,,
000036.SZ,,,,,,,,,,,,
000037.SZ,,,,,,,,,,,,
000038.SZ,,,,1.0,,,,,,,,
000039.SZ,,,,,,,,,,,,
000040.SZ,,1.0,,1.0,,,,,,,,
000042.SZ,,,,,1.0,,,,,,,
000045.SZ,,,,,,,1.0,,,1.0,,
000046.SZ,,,,1.0,,,,,,,,1.0
000048.SZ,,,,,,,,,,,,
000049.SZ,,,,,,,,,,,,
000050.SZ,,1.0,,1.0,,1.0,,,,,,
000055.SZ,,,,1.0,,,,,,1.0,,
000056.SZ,,,,,1.0,,,,,,,
000058.SZ,,,1.0,,,,,,,,,
000059.SZ,,,,,,1.0,,,,,,1.0
000060.SZ,,,1.0,,1.0,,,,,,,
000061.SZ,,,,,,,1.0,,,,,1.0
000062.SZ,,,,,1.0,,,,,,1.0,
000063.SZ,,,,,,,,,,,,
000065.SZ,,,,1.0,1.0,,,,,,,
000066.SZ,,,1.0,,,,,,,1.0,,
000068.SZ,,,,,1.0,,,,,,,
000069.SZ,,,,1.0,,,,,,,1.0,
000070.SZ,,,,,1.0,,1.0,,,,,
000078.SZ,,,,1.0,,,1.0,,,,,
000088.SZ,,,,,,,,,,,,
000089.SZ,,,,,,,,,,,,1.0
000090.SZ,,,,,1.0,,,,,,,
000096.SZ,,,,,,,,,,,,
000099.SZ,,,,,,,,,,,,
000100.SZ,,,1.0,,1.0,1.0,,,,1.0,1.0,
000150.SZ,,,,,1.0,,,,,,,
000151.SZ,,,,,,,,,,,,
000153.SZ,,,,,,,1.0,,,,,
000155.SZ,,,,,,,,,,,,
000156.SZ,,,,,1.0,,1.0,1.0,,,,
000157.SZ,,,,,,,,,,1.0,,
000158.SZ,,,,,1.0,,,,,,,1.0
000159.SZ,,,,,,,,,,,,1.0
000166.SZ,,1.0,,,,,,,,,,
000301.SZ,,1.0,,,,,,,,,,
000333.SZ,,,,,1.0,,,,,,,
000338.SZ,,,,,,,,,,,,
000400.SZ,,,,,,1.0,,,,,,
000401.SZ,,,,,,,,1.0,,,,1.0
000402.SZ,,,,,,,,,,,,1.0
