,ret,nav
20091231,0.037999371,1.037999371
20100129,0.036159592,1.075533005
20100226,0.021382204,1.098530272
20100331,-0.046906053,1.047002553
20100430,-0.024976037,1.020852578
20100531,-0.009152566,1.011509158
20100630,-0.014166127,0.997179991
20100730,0.016642546,1.013775605
20100831,-0.001449274,1.012306365
20100930,0.012309013,1.024766857
20101029,0.016301945,1.04147255
20101130,-0.004402016,1.036887971
20101231,0.009024486,1.046245352
20110131,0.003733807,1.05015183
20110228,0.002874646,1.053170644
20110331,0.00657609,1.060096389
20110429,0.016656233,1.077753601
20110531,0.085502705,1.16990445
20110630,-0.012527701,1.155248236
20110729,0.009043287,1.165695477
20110831,-0.025264433,1.136244842
20110930,0.007338827,1.144583547
20111031,0.013516892,1.16005476
20111130,-0.029543844,1.125782283
20111230,-0.019929958,1.103345489
20120131,0.019798344,1.125189902
20120229,-0.003466531,1.121289397
20120330,0.037807009,1.163681995
20120427,0.005661229,1.170269865
20120531,0.000924155,1.171351376
20120629,0.003122332,1.175008724
20120731,0.015868985,1.193654919
20120831,-0.031910786,1.155564452
20120928,0.013071593,1.170669521
20121031,0.010802653,1.183315857
20121130,0.001236276,1.184778762
20121231,-0.018100151,1.163334087
20130131,0.016815653,1.182896309
20130228,-0.019945771,1.15930253
20130329,0.006465226,1.166797683
20130426,-0.045505135,1.113702397
20130531,0.029380851,1.146423921
20130628,0.027657241,1.178130844
20130731,0.009093404,1.188844063
20130830,0.00441011,1.194086997
20130930,0.018226796,1.215851377
20131031,-0.009108498,1.204776797
20131129,0.029931737,1.240837859
20131231,0.008452627,1.251326199
20140130,-0.004908594,1.245183947
20140228,0.013541809,1.26204599
20140331,-0.006720974,1.253563812
20140430,-0.000925969,1.25240305
20140530,-0.022734982,1.223929689
20140630,0.009594866,1.23567313
20140731,0.022210219,1.263117701
20140829,0.00631917,1.271099556
20140930,0.009345474,1.282978584
20141031,-0.005183885,1.27632777
20141128,-0.007263113,1.267057656
20141231,0.011391589,1.281491456
20150130,0.00060214,1.282263093
20150227,-0.019233293,1.257600952
20150331,0.009774928,1.269893911
20150430,0.007807619,1.279808759
20150529,0.008212466,1.290319146
20150630,-0.006634729,1.281758228
20150731,-0.003897903,1.27676206
20150831,-0.00081121,1.275726337
20150930,-0.000428152,1.275180132
20151030,-0.0151078,1.255914966
20151130,0.014061346,1.273574821
20151231,0.002358305,1.2765783
20160129,-0.01603664,1.256106273
20160229,-0.032578178,1.215184619
20160331,-0.017456335,1.193971949
20160429,-0.001659339,1.191990745
20160531,-0.009586687,1.180563503
20160630,0.013571984,1.196586092
20160729,-5.32E-05,1.196522464
20160831,0.019550841,1.219915485
20160930,0.012003537,1.234558785
20161031,0.025770861,1.266374428
20161130,0.003487237,1.270790576
20161230,0.0106901,1.284375455
20170126,0.014201895,1.30261602
20170228,-0.000947438,1.301381872
20170331,0.009388858,1.313600361
20170428,-0.010145668,1.300273008
20170531,0.008671492,1.311548315
20170630,0.005334429,1.318544676
20170731,0.005911847,1.32633971
20170831,-0.008199353,1.315464583
20170929,0.014862338,1.335015461
20171031,0.003012876,1.339037698
20171130,-0.00509018,1.332221756
20171229,-0.012841552,1.31511396
20180131,0.006761371,1.324005934
20180228,0.016037574,1.345239777
20180330,-0.000608741,1.344420875
20180427,0.006298414,1.352888594
20180531,-0.008770962,1.34102246
20180629,-0.00647535,1.33233887
20180731,-0.011047183,1.31762028
20180831,0.010401932,1.331326076
20180928,0.001973887,1.333953963
20181031,0.011366587,1.349116468
20181130,0.006782758,1.358267198
20181228,-0.000716599,1.357293865
20190131,0.003102855,1.36150535
20190228,-0.004329316,1.355610964
20190329,-0.002134541,1.352717357
20190430,-0.016075142,1.330972233
20190531,0.008664639,1.342504627
20190628,-0.000660258,1.341618228
20190731,-0.00510227,1.33477293
20190830,0.014151985,1.353662616
20190930,0.007534641,1.363861978
20191031,0.004597795,1.370132736
20191129,0.004330375,1.376065925
20191231,0.000604743,1.376898091
20200123,0.003649526,1.381923116
20200228,-0.00596705,1.373677113
20200331,0.006242446,1.382252218
20200430,0.003043621,1.38645927
